name,place_id,business_status,types,lat,lng
Kinder Nueva Suayapa,ChIJ_epUfwC9b48Rd02n39xx8Vw,OPERATIONAL,"school,point_of_interest,establishment",14.069099,-87.1477462
"Centro Infantil Virgen del Valle, ACOES",ChIJ32dgg0-9b48RnftQr1hOEm4,OPERATIONAL,"school,point_of_interest,establishment",14.0731293,-87.20984159999999
JARDIN Y ESCUELA BILINGUE SMART KIDS,ChIJZ9dkNM69b48Re5XdBlfxyno,OPERATIONAL,"school,point_of_interest,establishment",14.071385,-87.20903659999999
Guarderia Jerusalen,ChIJS0pnUUm9b48RAP5vSNDb7rQ,OPERATIONAL,"school,point_of_interest,establishment",14.0730785,-87.155453
Kinder emanuel,ChIJR7mPWM6Xb48RxZCqZP77GVw,OPERATIONAL,"school,point_of_interest,establishment",14.073355,-87.22514799999999
Sociedad Amigos De Los Niños,ChIJ____LzC9b48RJ1YmXVQx2X0,OPERATIONAL,"school,point_of_interest,establishment",14.0744859,-87.19275580000001
Chiquitines,ChIJRSiiRzu9b48Ro8VM5fyeTww,OPERATIONAL,"point_of_interest,clothing_store,store,establishment",14.0668643,-87.1862684
"Jardín Escuela, Círculo Infantil",ChIJxz0Pms-8b48RiTtPyLnVp1Y,OPERATIONAL,"school,point_of_interest,establishment",14.0730278,-87.1703744
Guarderia Buen Samaritano,ChIJ2dn5umG9b48RzAfdAk90Mhw,OPERATIONAL,"school,point_of_interest,establishment",14.0761808,-87.1545313
kinder Monserrath,ChIJEeZmHmu9b48RmXSyvnyYK3o,OPERATIONAL,"school,point_of_interest,establishment",14.076182,-87.15666569999999
Asociación Compartir Nueva Suyapa,ChIJ067_GDu9b48RXZLbupcxhIA,OPERATIONAL,"school,point_of_interest,establishment",14.0762874,-87.15203679999999
Guardería San Bosco,ChIJc1kRLq68b48RaZ0OyDerqcs,OPERATIONAL,"school,point_of_interest,establishment",14.0752681,-87.1516469
Jardín de Niños Nueva Suyapa,ChIJVc_MXaq9b48R7QWxgYebfko,OPERATIONAL,"school,point_of_interest,establishment",14.075985,-87.14965169999999
Centro de Cuidado infantil San Francisco,ChIJQbNTzr2Xb48R5jnRuAg5GAU,OPERATIONAL,"school,point_of_interest,establishment",14.0768097,-87.2285691
Jardin de Niños El Eden,ChIJYXm4LQeXb48RAy5QiVZCSGI,OPERATIONAL,"point_of_interest,establishment",14.0770584,-87.2259539
Happy Land School,ChIJ1fNTiPSXb48RyBhI_lDM3xw,OPERATIONAL,"school,point_of_interest,establishment",14.0792739,-87.2394412
CEPBG ANGEL ZUNIGA HUETE,ChIJpdj1zLGXb48RcaRuyxpR_Lk,OPERATIONAL,"school,point_of_interest,establishment",14.0739346,-87.2339569
"Colonia San Francisco, Child Daycare No. 10",ChIJZwEysBWXb48RPFkZ4qJQDLM,OPERATIONAL,"school,point_of_interest,establishment",14.0804674,-87.2288623
Honduras,ChIJnwfadACXb48RJx_BdQEGmVg,OPERATIONAL,"school,point_of_interest,establishment",14.0741825,-87.2332402
Baby Genius,ChIJf8CDCUG9b48RRaBxYn9CAgM,OPERATIONAL,"school,point_of_interest,establishment",14.0808743,-87.2067419
Centro de Educación Básica El Japón,ChIJqYbumy29b48Rz1ExAhkwC18,OPERATIONAL,"school,point_of_interest,establishment",14.0807579,-87.1909428
My Dream Daycare,ChIJ85v-0O29b48R23SCYil7zR8,OPERATIONAL,"point_of_interest,establishment",14.0802745,-87.18665080000001
Pequeños Gigantes Daycare,ChIJ43rsfCe9b48RBRYV5od-7hs,OPERATIONAL,"school,point_of_interest,establishment",14.081678,-87.18140620000001
HUELLITAS,ChIJG22mOX69b48REV2pMSSFpjg,OPERATIONAL,"school,point_of_interest,establishment",14.0791785,-87.17814299999999
Jardin de Niños Monseñor Jacobo Caceres,ChIJK8oaprO8b48Rh0Uh9gEEwsE,OPERATIONAL,"school,point_of_interest,establishment",14.0799657,-87.15557989999999
Baby & Kids Campus Daycare,ChIJzadKMgC9b48RtcHsa8PhkiU,OPERATIONAL,"point_of_interest,establishment",14.0826675,-87.17800539999999
Happy Faces,ChIJbTjAp9S8b48RcAkBjBivndU,OPERATIONAL,"school,point_of_interest,establishment",14.0828823,-87.1771863
Centro de Educación Prebásica Sociedad Amigos de los Niños,ChIJIWisQfejb48RiiOg1ijl9fM,OPERATIONAL,"school,point_of_interest,establishment",14.0858457,-87.2125264
Centro infantil San Juan Bautista,ChIJFx39BoOjb48R1R5jzQ0vxH0,OPERATIONAL,"school,point_of_interest,establishment",14.0870998,-87.2026339
Brightstars Daycare & Preschool,ChIJtTKGZW6jb48RkkEwXhsgGTQ,OPERATIONAL,"point_of_interest,establishment",14.0849966,-87.1972436
Jardín Y Escuela Para Niños Sordos Manos Felices,ChIJi78Elcyib48RghrTk0Pnejk,OPERATIONAL,"school,point_of_interest,establishment",14.0854356,-87.19604029999999
Chiccolandia,ChIJuchxJtSib48RHdECDhtQZdA,OPERATIONAL,"clothing_store,point_of_interest,store,establishment",14.0893022,-87.1854664
Chiccolandia,ChIJuchxJtSib48RHdECDhtQZdA,OPERATIONAL,"clothing_store,store,point_of_interest,establishment",14.0893022,-87.1854664
Little Wonder HN,ChIJK35Ic_yjb48Resm33GnKNDQ,OPERATIONAL,"clothing_store,point_of_interest,store,establishment",14.0880792,-87.1829886
Hogar de Niños BAIK de Tegucigalpa,ChIJ-ROElSyYb48RIrAeZJV25Fw,OPERATIONAL,"school,point_of_interest,establishment",14.0917367,-87.260547
Kinder,ChIJs2t4aNeZb48Ri0EKKJ1BvTg,OPERATIONAL,"school,point_of_interest,establishment",14.0901124,-87.2485822
Centro educativo,ChIJV9Q4GFmZb48RznlVyrNatho,OPERATIONAL,"point_of_interest,establishment",14.0920506,-87.2223522
Escuela Mundo Feliz,ChIJMYDofrGib48RGrKXc00b8B4,OPERATIONAL,"school,point_of_interest,establishment",14.0901309,-87.20942509999999
Mimos Club Day care - Nursery - Preschool,ChIJJz4wZ2Kjb48ROBuxwewrx-8,OPERATIONAL,"point_of_interest,establishment",14.0915506,-87.1932692
Mind Gym Preschool,ChIJNd2jcJWjb48R66VW1iviTU8,OPERATIONAL,"school,point_of_interest,establishment",14.0923539,-87.1839955
Little Wonder HN,ChIJK35Ic_yjb48Resm33GnKNDQ,OPERATIONAL,"clothing_store,store,point_of_interest,establishment",14.0880792,-87.1829886
Jardín experimental UNAH,ChIJ99nDRf6jb48Ralx7lXUFOw0,OPERATIONAL,"school,point_of_interest,establishment",14.0846099,-87.16208569999999
Centro de Educación Prebásica Gubernamental “Las Americas”,ChIJS3LUVnKZb48R8zU8hDgaKlU,OPERATIONAL,"school,point_of_interest,establishment",14.0928172,-87.24379549999999
Kinder Centroamerica,ChIJAQBAXBuYb48R1ukE-Yw4lfM,OPERATIONAL,"school,point_of_interest,establishment",14.0906165,-87.2328762
Kinder,ChIJ_UZlWiKjb48R2CBZ2XByesU,OPERATIONAL,"school,point_of_interest,establishment",14.0909771,-87.20869669999999
